2025-09-16 08:09:29.947 [AWT-EventQueue-0] INFO  level - Level completed - Number: 2, Name: Level 2, CompletionTime: 86408ms, PacketsDelivered: 40, PacketLoss: 0, CoinsEarned: 0
2025-09-16 08:10:33.588 [AWT-EventQueue-0] INFO  level - Level 2 started - User: Mahdi
2025-09-16 08:10:33.588 [AWT-EventQueue-0] INFO  level - Level started - Number: 3, Name: Security Systems, Description: Introduce VPN and Anti-trojan systems with confidential packets
2025-09-16 08:20:18.346 [AWT-EventQueue-0] INFO  level - Level 0 started - User: Mahdi
2025-09-16 08:20:18.346 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 08:21:30.006 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 71659ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 08:21:34.482 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 08:21:34.482 [AWT-EventQueue-0] INFO  level - Level started - Number: 2, Name: Packet Diversity, Description: Master different packet types with varying speeds and behaviors
2025-09-16 08:38:59.008 [AWT-EventQueue-0] INFO  level - Level 0 started - User: Mahdi
2025-09-16 08:39:01.998 [AWT-EventQueue-0] INFO  level - Level 0 started - User: Mahdi
2025-09-16 08:39:01.998 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 08:39:49.531 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 47531ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 08:39:58.042 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 08:39:58.042 [AWT-EventQueue-0] INFO  level - Level started - Number: 2, Name: Packet Diversity, Description: Master different packet types with varying speeds and behaviors
2025-09-16 08:41:43.792 [AWT-EventQueue-0] INFO  level - Level completed - Number: 2, Name: Level 2, CompletionTime: 105750ms, PacketsDelivered: 40, PacketLoss: 0, CoinsEarned: 0
2025-09-16 08:41:54.363 [AWT-EventQueue-0] INFO  level - Level 2 started - User: Mahdi
2025-09-16 08:41:54.363 [AWT-EventQueue-0] INFO  level - Level started - Number: 3, Name: Security Systems, Description: Introduce VPN and Anti-trojan systems with confidential packets
2025-09-16 08:50:00.153 [AWT-EventQueue-0] INFO  level - Level 0 started - User: Mahdi
2025-09-16 08:50:00.153 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 08:51:10.395 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 70241ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 08:51:12.831 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 08:51:12.832 [AWT-EventQueue-0] INFO  level - Level started - Number: 2, Name: Packet Diversity, Description: Master different packet types with varying speeds and behaviors
2025-09-16 08:53:41.186 [AWT-EventQueue-0] INFO  level - Level completed - Number: 2, Name: Level 2, CompletionTime: 148354ms, PacketsDelivered: 40, PacketLoss: 0, CoinsEarned: 0
2025-09-16 08:53:43.744 [AWT-EventQueue-0] INFO  level - Level 2 started - User: Mahdi
2025-09-16 08:53:43.744 [AWT-EventQueue-0] INFO  level - Level started - Number: 3, Name: Security Systems, Description: Introduce VPN and Anti-trojan systems with confidential packets
2025-09-16 09:19:23.131 [AWT-EventQueue-0] INFO  level - Level 0 started - User: Mahdi
2025-09-16 09:19:25.237 [AWT-EventQueue-0] INFO  level - Level 0 started - User: Mahdi
2025-09-16 09:19:25.237 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 09:20:18.067 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 52829ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 09:20:21.107 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 09:20:21.107 [AWT-EventQueue-0] INFO  level - Level started - Number: 2, Name: Packet Diversity, Description: Master different packet types with varying speeds and behaviors
2025-09-16 09:22:25.147 [AWT-EventQueue-0] INFO  level - Level completed - Number: 2, Name: Level 2, CompletionTime: 124040ms, PacketsDelivered: 40, PacketLoss: 0, CoinsEarned: 0
2025-09-16 09:22:59.460 [AWT-EventQueue-0] INFO  level - Level 2 started - User: Mahdi
2025-09-16 09:22:59.461 [AWT-EventQueue-0] INFO  level - Level started - Number: 3, Name: Security Systems, Description: Introduce VPN and Anti-trojan systems with confidential packets
2025-09-16 09:43:21.507 [AWT-EventQueue-0] INFO  level - Level 0 started - User: Mahdi
2025-09-16 09:43:21.507 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 09:45:26.672 [AWT-EventQueue-0] INFO  level - Level 0 started - User: Mahdi
2025-09-16 09:45:26.672 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 09:46:18.847 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 52173ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 09:46:23.651 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 09:46:23.651 [AWT-EventQueue-0] INFO  level - Level started - Number: 2, Name: Packet Diversity, Description: Master different packet types with varying speeds and behaviors
2025-09-16 09:48:09.563 [AWT-EventQueue-0] INFO  level - Level completed - Number: 2, Name: Level 2, CompletionTime: 105912ms, PacketsDelivered: 40, PacketLoss: 0, CoinsEarned: 0
2025-09-16 09:48:12.883 [AWT-EventQueue-0] INFO  level - Level 2 started - User: Mahdi
2025-09-16 09:48:12.883 [AWT-EventQueue-0] INFO  level - Level started - Number: 3, Name: Security Systems, Description: Introduce VPN and Anti-trojan systems with confidential packets
2025-09-16 09:58:33.888 [AWT-EventQueue-0] INFO  level - Level 0 started - User: Mahdi
2025-09-16 09:58:33.888 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 09:59:37.006 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 63117ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 09:59:40.344 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 09:59:40.345 [AWT-EventQueue-0] INFO  level - Level started - Number: 2, Name: Packet Diversity, Description: Master different packet types with varying speeds and behaviors
2025-09-16 10:00:53.309 [AWT-EventQueue-0] INFO  level - Level completed - Number: 2, Name: Level 2, CompletionTime: 72964ms, PacketsDelivered: 40, PacketLoss: 0, CoinsEarned: 0
2025-09-16 10:00:54.272 [AWT-EventQueue-0] INFO  level - Level 2 started - User: Mahdi
